DataNo;Date;Time;Millisecond;Urms-1;Urms-2;Urms-3;Urms-SIGMA;Irms-1;Irms-2;Irms-3;Irms-SIGMA;P-1;P-2;P-3;P-SIGMA;FreqU-1;FreqI-1;Q-1;Q-2;Q-3;Q-SIGMA;S-1;S-2;S-3;S-SIGMA;PF-1;PF-2;PF-3;PF-SIGMA;Uthd-1;Uthd-2;Uthd-3;Ithd-1;Ithd-2;Ithd-3;CfU-1;CfU-2;CfU-3;CfI-1;CfI-2;CfI-3;Idc-1;Idc-2;Idc-3;I(k)-1-Total;I(k)-2-Total;I(k)-3-Total;U(k)-1-Total;U(k)-2-Total;U(k)-3-Total;U(k)-1-500
801;2025/08/20;14:01:27;738;246,436 ;246,347 ;246,206 ;246,330 ;0,27952E+03;0,28241E+03;0,28625E+03;0,28273E+03;34,401E+03;35,100E+03;35,660E+03;105,162E+03;57,022 ;57,016 ;59,677E+03;60,067E+03;60,789E+03;180,534E+03;68,883E+03;69,571E+03;70,476E+03;208,930E+03;0,49942 ;0,50453 ;0,50598 ;0,50333 ;40,079 ;39,990 ;39,862 ;16,891 ;16,815 ;16,641 ;1,603 ;1,608 ;1,605 ;1,823 ;1,802 ;1,786 ;-0,00012E+03;-0,00012E+03;-0,00034E+03;0,27814E+03;0,28122E+03;0,28671E+03;240,403 ;240,835 ;240,304 ;NAN
802;2025/08/20;14:01:28;237;246,514 ;246,378 ;246,252 ;246,381 ;0,27984E+03;0,28212E+03;0,28531E+03;0,28242E+03;34,383E+03;35,196E+03;35,478E+03;105,056E+03;57,020 ;57,023 ;59,804E+03;59,939E+03;60,643E+03;180,386E+03;68,983E+03;69,509E+03;70,258E+03;208,750E+03;0,49842 ;0,50635 ;0,50496 ;0,50326 ;39,385 ;40,446 ;40,005 ;16,518 ;16,688 ;17,059 ;1,603 ;1,612 ;1,596 ;1,813 ;1,798 ;1,791 ;0,00031E+03;-0,00024E+03;0,00094E+03;0,28396E+03;0,28627E+03;0,28382E+03;241,580 ;240,278 ;240,528 ;NAN
803;2025/08/20;14:01:28;738;246,444 ;246,324 ;246,205 ;246,324 ;0,28076E+03;0,28267E+03;0,28711E+03;0,28351E+03;34,556E+03;35,114E+03;35,607E+03;105,277E+03;57,022 ;57,015 ;59,945E+03;60,126E+03;61,064E+03;181,135E+03;69,192E+03;69,628E+03;70,688E+03;209,508E+03;0,49942 ;0,50431 ;0,50373 ;0,50250 ;39,880 ;39,873 ;40,092 ;16,854 ;16,448 ;16,922 ;1,610 ;1,608 ;1,598 ;1,823 ;1,807 ;1,804 ;0,00007E+03;-0,00024E+03;-0,00023E+03;0,27748E+03;0,28668E+03;0,28538E+03;240,264 ;240,307 ;240,207 ;NAN
804;2025/08/20;14:01:29;236;246,356 ;246,213 ;246,091 ;246,220 ;0,27956E+03;0,28128E+03;0,28498E+03;0,28194E+03;34,490E+03;35,180E+03;35,462E+03;105,133E+03;57,019 ;57,017 ;59,613E+03;59,654E+03;60,504E+03;179,771E+03;68,871E+03;69,255E+03;70,131E+03;208,257E+03;0,50079 ;0,50799 ;0,50566 ;0,50482 ;39,818 ;39,650 ;40,071 ;16,956 ;16,641 ;16,669 ;1,602 ;1,600 ;1,611 ;1,815 ;1,801 ;1,803 ;-0,00038E+03;0,00057E+03;-0,00114E+03;0,27561E+03;0,28225E+03;0,28701E+03;241,236 ;241,156 ;240,966 ;NAN
805;2025/08/20;14:01:29;739;246,496 ;246,371 ;246,249 ;246,372 ;0,28136E+03;0,28349E+03;0,28765E+03;0,28417E+03;34,525E+03;35,134E+03;35,609E+03;105,268E+03;57,023 ;57,012 ;60,151E+03;60,363E+03;61,233E+03;181,747E+03;69,354E+03;69,843E+03;70,834E+03;210,032E+03;0,49780 ;0,50304 ;0,50271 ;0,50120 ;40,284 ;40,047 ;39,801 ;16,921 ;16,877 ;16,625 ;1,605 ;1,594 ;1,598 ;1,838 ;1,812 ;1,789 ;0,00038E+03;-0,00055E+03;0,00054E+03;0,27678E+03;0,28125E+03;0,28723E+03;239,528 ;240,384 ;240,256 ;NAN
806;2025/08/20;14:01:30;236;246,598 ;246,456 ;246,352 ;246,468 ;0,28078E+03;0,28266E+03;0,28682E+03;0,28342E+03;34,506E+03;35,116E+03;35,529E+03;105,150E+03;57,021 ;57,021 ;60,029E+03;60,165E+03;61,078E+03;181,271E+03;69,239E+03;69,663E+03;70,659E+03;209,562E+03;0,49835 ;0,50408 ;0,50282 ;0,50176 ;39,984 ;40,027 ;40,026 ;16,700 ;16,860 ;17,010 ;1,591 ;1,608 ;1,603 ;1,821 ;1,822 ;1,806 ;-0,00016E+03;0,00024E+03;-0,00016E+03;0,27910E+03;0,27919E+03;0,28409E+03;240,658 ;240,545 ;240,274 ;NAN
807;2025/08/20;14:01:30;739;246,270 ;246,147 ;246,035 ;246,151 ;0,27906E+03;0,28131E+03;0,28487E+03;0,28175E+03;34,455E+03;35,192E+03;35,558E+03;105,204E+03;57,021 ;57,024 ;59,464E+03;59,634E+03;60,398E+03;179,496E+03;68,725E+03;69,244E+03;70,087E+03;208,056E+03;0,50135 ;0,50823 ;0,50734 ;0,50565 ;39,937 ;39,765 ;40,161 ;16,952 ;16,496 ;16,897 ;1,610 ;1,614 ;1,600 ;1,821 ;1,819 ;1,800 ;-0,00009E+03;0,00024E+03;-0,00048E+03;0,27560E+03;0,28508E+03;0,28294E+03;240,249 ;240,470 ;239,988 ;NAN
808;2025/08/20;14:01:31;237;246,394 ;246,327 ;246,224 ;246,315 ;0,27868E+03;0,28065E+03;0,28593E+03;0,28175E+03;34,477E+03;34,865E+03;35,539E+03;104,881E+03;57,019 ;57,033 ;59,383E+03;59,695E+03;60,775E+03;179,854E+03;68,666E+03;69,131E+03;70,404E+03;208,201E+03;0,50209 ;0,50434 ;0,50479 ;0,50375 ;39,739 ;39,883 ;39,259 ;17,013 ;16,551 ;16,824 ;1,597 ;1,604 ;1,605 ;1,853 ;1,814 ;1,808 ;-0,00073E+03;0,00010E+03;0,00092E+03;0,27673E+03;0,28764E+03;0,28674E+03;241,622 ;240,219 ;240,032 ;NAN
809;2025/08/20;14:01:31;738;246,301 ;246,209 ;246,114 ;246,208 ;0,28217E+03;0,28404E+03;0,28865E+03;0,28495E+03;35,233E+03;35,781E+03;36,307E+03;107,320E+03;57,013 ;57,031 ;59,905E+03;60,088E+03;61,062E+03;181,055E+03;69,498E+03;69,934E+03;71,041E+03;210,473E+03;0,50696 ;0,51163 ;0,51107 ;0,50990 ;40,041 ;39,965 ;39,974 ;16,854 ;16,821 ;16,757 ;1,596 ;1,598 ;1,607 ;1,849 ;1,826 ;1,801 ;-0,00058E+03;0,00026E+03;-0,00044E+03;0,27705E+03;0,27888E+03;0,28301E+03;239,573 ;240,164 ;239,847 ;NAN
810;2025/08/20;14:01:32;237;238,980 ;239,282 ;239,111 ;239,124 ;0,33469E+03;0,33557E+03;0,34334E+03;0,33787E+03;55,858E+03;56,155E+03;57,151E+03;169,164E+03;56,689 ;56,884 ;57,247E+03;57,395E+03;58,939E+03;173,581E+03;79,983E+03;80,297E+03;82,097E+03;242,378E+03;0,69837 ;0,69935 ;0,69613 ;0,69793 ;39,913 ;39,778 ;39,584 ;16,794 ;16,754 ;16,837 ;1,630 ;1,626 ;1,628 ;2,125 ;2,135 ;2,076 ;0,00031E+03;0,00056E+03;-0,00000E+03;0,28202E+03;0,28284E+03;0,28645E+03;238,521 ;238,229 ;238,164 ;NAN
811;2025/08/20;14:01:32;737;218,182 ;218,108 ;217,836 ;218,042 ;0,59598E+03;0,60510E+03;0,60990E+03;0,60366E+03;111,480E+03;113,423E+03;114,327E+03;339,230E+03;56,000 ;56,040 ;66,938E+03;67,479E+03;67,680E+03;202,097E+03;130,032E+03;131,978E+03;132,858E+03;394,868E+03;0,85732 ;0,85941 ;0,86052 ;0,85910 ;38,574 ;39,088 ;39,637 ;13,045 ;12,390 ;13,112 ;1,652 ;1,663 ;1,661 ;1,848 ;1,850 ;1,833 ;-0,00211E+03;0,00249E+03;-0,00064E+03;0,43932E+03;0,45691E+03;0,45093E+03;225,541 ;224,235 ;223,346 ;NAN
812;2025/08/20;14:01:33;237;214,570 ;214,387 ;214,262 ;214,406 ;0,73555E+03;0,74374E+03;0,74933E+03;0,74287E+03;130,475E+03;132,526E+03;133,461E+03;396,462E+03;56,513 ;56,482 ;88,801E+03;88,660E+03;89,247E+03;266,708E+03;157,827E+03;159,448E+03;160,552E+03;477,827E+03;0,82670 ;0,83115 ;0,83126 ;0,82972 ;38,197 ;38,451 ;38,848 ;8,306 ;8,109 ;8,347 ;1,624 ;1,621 ;1,624 ;1,607 ;1,616 ;1,604 ;-0,00019E+03;-0,00093E+03;0,00133E+03;0,69844E+03;0,72152E+03;0,72085E+03;206,897 ;206,747 ;207,003 ;NAN
813;2025/08/20;14:01:33;738;213,039 ;213,059 ;212,844 ;212,981 ;0,77391E+03;0,78444E+03;0,79776E+03;0,78537E+03;137,223E+03;139,141E+03;141,790E+03;418,154E+03;56,760 ;56,760 ;91,395E+03;92,590E+03;93,419E+03;277,403E+03;164,873E+03;167,132E+03;169,798E+03;501,803E+03;0,83230 ;0,83252 ;0,83505 ;0,83330 ;38,251 ;38,346 ;38,538 ;7,721 ;7,748 ;8,088 ;1,613 ;1,618 ;1,609 ;1,641 ;1,650 ;1,626 ;-0,00200E+03;0,00343E+03;-0,00352E+03;0,75078E+03;0,75389E+03;0,74733E+03;210,921 ;210,418 ;210,186 ;NAN
814;2025/08/20;14:01:34;238;212,011 ;211,938 ;211,677 ;211,875 ;0,83605E+03;0,84886E+03;0,85597E+03;0,84696E+03;146,444E+03;149,225E+03;150,591E+03;446,260E+03;56,874 ;56,872 ;99,861E+03;100,487E+03;100,757E+03;301,105E+03;177,251E+03;179,905E+03;181,189E+03;538,345E+03;0,82619 ;0,82947 ;0,83113 ;0,82895 ;37,878 ;38,515 ;38,766 ;7,228 ;7,101 ;7,421 ;1,631 ;1,597 ;1,634 ;1,602 ;1,606 ;1,584 ;0,00346E+03;-0,00518E+03;0,00297E+03;0,81886E+03;0,83600E+03;0,81919E+03;207,520 ;207,366 ;206,996 ;NAN
815;2025/08/20;14:01:34;737;210,949 ;210,874 ;210,616 ;210,813 ;0,88389E+03;0,89696E+03;0,90466E+03;0,89517E+03;153,983E+03;156,823E+03;158,248E+03;469,054E+03;56,932 ;56,943 ;105,143E+03;105,748E+03;106,119E+03;317,009E+03;186,456E+03;189,146E+03;190,535E+03;566,137E+03;0,82584 ;0,82911 ;0,83055 ;0,82852 ;38,197 ;38,525 ;38,390 ;6,909 ;6,768 ;7,052 ;1,603 ;1,638 ;1,611 ;1,590 ;1,609 ;1,597 ;-0,00094E+03;0,00273E+03;-0,00049E+03;0,86383E+03;0,87924E+03;0,86807E+03;206,642 ;206,453 ;205,805 ;NAN
816;2025/08/20;14:01:35;236;209,296 ;209,219 ;208,975 ;209,163 ;0,93560E+03;0,94970E+03;0,95667E+03;0,94732E+03;162,066E+03;165,172E+03;166,426E+03;493,665E+03;56,930 ;56,933 ;109,906E+03;110,444E+03;110,772E+03;331,122E+03;195,818E+03;198,695E+03;199,921E+03;594,433E+03;0,82764 ;0,83129 ;0,83246 ;0,83048 ;38,093 ;37,986 ;38,569 ;6,405 ;6,517 ;6,515 ;1,620 ;1,613 ;1,614 ;1,606 ;1,608 ;1,616 ;-0,00014E+03;0,00005E+03;-0,00004E+03;0,91727E+03;0,90927E+03;0,92496E+03;206,296 ;205,292 ;205,129 ;NAN
817;2025/08/20;14:01:35;739;208,179 ;208,016 ;207,780 ;207,991 ;0,99666E+03;1,00999E+03;1,01615E+03;1,00760E+03;171,174E+03;174,268E+03;175,216E+03;520,658E+03;56,940 ;56,940 ;117,256E+03;117,344E+03;117,805E+03;352,405E+03;207,484E+03;210,093E+03;211,136E+03;628,713E+03;0,82500 ;0,82948 ;0,82987 ;0,82813 ;38,183 ;38,910 ;38,180 ;6,004 ;6,179 ;6,319 ;1,631 ;1,628 ;1,610 ;1,598 ;1,586 ;1,587 ;0,00049E+03;-0,00014E+03;-0,00046E+03;0,99540E+03;0,97493E+03;0,97683E+03;203,876 ;203,770 ;204,593 ;NAN
818;2025/08/20;14:01:36;237;208,947 ;208,825 ;208,590 ;208,787 ;1,00607E+03;1,02060E+03;1,02873E+03;1,01847E+03;171,819E+03;175,000E+03;176,461E+03;523,280E+03;57,157 ;57,143 ;121,114E+03;121,649E+03;122,096E+03;364,858E+03;210,215E+03;213,128E+03;214,583E+03;637,926E+03;0,81735 ;0,82110 ;0,82234 ;0,82028 ;37,671 ;37,892 ;38,819 ;5,860 ;5,747 ;5,933 ;1,626 ;1,599 ;1,645 ;1,597 ;1,582 ;1,583 ;-0,00115E+03;0,00109E+03;-0,00040E+03;1,03159E+03;1,04999E+03;1,03288E+03;202,604 ;202,599 ;201,812 ;NAN
819;2025/08/20;14:01:36;737;213,185 ;213,100 ;212,856 ;213,047 ;0,93729E+03;0,94985E+03;0,95702E+03;0,94805E+03;162,590E+03;165,581E+03;166,773E+03;494,944E+03;57,428 ;57,432 ;116,149E+03;116,420E+03;116,978E+03;349,547E+03;199,815E+03;202,412E+03;203,708E+03;605,935E+03;0,81370 ;0,81804 ;0,81869 ;0,81683 ;38,306 ;37,490 ;38,237 ;6,210 ;6,082 ;6,307 ;1,611 ;1,623 ;1,631 ;1,588 ;1,592 ;1,591 ;-0,00278E+03;-0,00004E+03;0,00064E+03;0,96924E+03;0,98839E+03;0,98157E+03;208,417 ;207,439 ;207,001 ;NAN
820;2025/08/20;14:01:37;237;213,902 ;213,784 ;213,526 ;213,737 ;0,91823E+03;0,93048E+03;0,93751E+03;0,92874E+03;160,975E+03;163,834E+03;165,032E+03;489,842E+03;57,324 ;57,319 ;112,537E+03;112,819E+03;113,304E+03;338,660E+03;196,412E+03;198,922E+03;200,183E+03;595,517E+03;0,81958 ;0,82361 ;0,82441 ;0,82255 ;37,971 ;38,629 ;38,384 ;6,642 ;6,609 ;6,550 ;1,631 ;1,636 ;1,641 ;1,566 ;1,571 ;1,569 ;0,00073E+03;0,00033E+03;-0,00031E+03;0,91502E+03;0,92942E+03;0,95634E+03;209,460 ;209,075 ;208,944 ;NAN
821;2025/08/20;14:01:37;738;213,673 ;213,578 ;213,344 ;213,532 ;0,91566E+03;0,92742E+03;0,93446E+03;0,92585E+03;160,920E+03;163,711E+03;164,899E+03;489,529E+03;57,241 ;57,237 ;111,285E+03;111,504E+03;112,043E+03;334,832E+03;195,652E+03;198,077E+03;199,362E+03;593,090E+03;0,82248 ;0,82650 ;0,82713 ;0,82539 ;38,392 ;38,523 ;38,713 ;6,467 ;6,606 ;6,600 ;1,629 ;1,619 ;1,586 ;1,569 ;1,575 ;1,575 ;0,00039E+03;-0,00064E+03;-0,00025E+03;0,92653E+03;0,91916E+03;0,94795E+03;209,738 ;209,678 ;209,129 ;NAN
822;2025/08/20;14:01:38;236;214,521 ;214,400 ;214,170 ;214,364 ;0,91815E+03;0,93063E+03;0,93590E+03;0,92823E+03;161,146E+03;164,205E+03;165,076E+03;490,427E+03;57,239 ;57,233 ;113,252E+03;113,350E+03;113,698E+03;340,300E+03;196,962E+03;199,528E+03;200,443E+03;596,933E+03;0,81816 ;0,82297 ;0,82356 ;0,82158 ;37,994 ;38,138 ;38,189 ;6,452 ;6,459 ;6,588 ;1,635 ;1,591 ;1,629 ;1,574 ;1,579 ;1,581 ;-0,00139E+03;0,00059E+03;0,00135E+03;0,92442E+03;0,93364E+03;0,93344E+03;208,914 ;208,324 ;208,500 ;NAN
823;2025/08/20;14:01:38;738;214,171 ;214,091 ;213,868 ;214,043 ;0,91200E+03;0,92485E+03;0,93240E+03;0,92308E+03;160,644E+03;163,570E+03;164,960E+03;489,173E+03;57,203 ;57,206 ;111,107E+03;111,579E+03;112,038E+03;334,723E+03;195,323E+03;198,002E+03;199,410E+03;592,735E+03;0,82245 ;0,82610 ;0,82724 ;0,82528 ;38,383 ;38,079 ;38,465 ;6,809 ;6,490 ;6,699 ;1,603 ;1,618 ;1,628 ;1,580 ;1,582 ;1,577 ;0,00166E+03;-0,00108E+03;-0,00089E+03;0,89663E+03;0,93562E+03;0,92601E+03;209,654 ;211,048 ;209,413 ;NAN
824;2025/08/20;14:01:39;236;214,647 ;214,539 ;214,317 ;214,501 ;0,91049E+03;0,92187E+03;0,93000E+03;0,92079E+03;160,726E+03;163,402E+03;164,790E+03;488,917E+03;57,208 ;57,209 ;111,182E+03;111,424E+03;112,119E+03;334,725E+03;195,433E+03;197,776E+03;199,315E+03;592,524E+03;0,82241 ;0,82620 ;0,82678 ;0,82514 ;38,352 ;38,057 ;38,137 ;6,652 ;6,598 ;6,595 ;1,640 ;1,611 ;1,624 ;1,571 ;1,582 ;1,569 ;-0,00151E+03;0,00091E+03;0,00027E+03;0,91106E+03;0,92479E+03;0,94527E+03;210,411 ;210,450 ;210,688 ;NAN
825;2025/08/20;14:01:39;737;214,766 ;214,668 ;214,444 ;214,626 ;0,91392E+03;0,92572E+03;0,93397E+03;0,92454E+03;161,196E+03;163,939E+03;165,384E+03;490,518E+03;57,204 ;57,200 ;111,991E+03;112,315E+03;112,968E+03;337,273E+03;196,280E+03;198,722E+03;200,284E+03;595,286E+03;0,82125 ;0,82496 ;0,82575 ;0,82400 ;37,583 ;38,334 ;38,265 ;6,635 ;6,584 ;6,582 ;1,617 ;1,615 ;1,603 ;1,584 ;1,580 ;1,570 ;-0,00061E+03;0,00026E+03;0,00004E+03;0,90503E+03;0,92283E+03;0,93530E+03;209,047 ;209,405 ;209,035 ;NAN
826;2025/08/20;14:01:40;235;214,590 ;214,512 ;214,281 ;214,461 ;0,91359E+03;0,92532E+03;0,93357E+03;0,92416E+03;161,290E+03;164,019E+03;165,460E+03;490,769E+03;57,193 ;57,196 ;111,446E+03;111,790E+03;112,434E+03;335,670E+03;196,048E+03;198,493E+03;200,046E+03;594,586E+03;0,82271 ;0,82632 ;0,82711 ;0,82540 ;38,259 ;37,560 ;38,453 ;6,571 ;6,532 ;6,550 ;1,610 ;1,619 ;1,619 ;1,569 ;1,570 ;1,574 ;0,00205E+03;-0,00116E+03;-0,00046E+03;0,91697E+03;0,92046E+03;0,93696E+03;209,712 ;209,968 ;210,288 ;NAN
827;2025/08/20;14:01:40;736;214,686 ;214,579 ;214,337 ;214,534 ;0,91417E+03;0,92754E+03;0,93392E+03;0,92521E+03;161,172E+03;164,263E+03;165,434E+03;490,870E+03;57,198 ;57,196 ;111,989E+03;112,387E+03;112,700E+03;337,076E+03;196,260E+03;199,031E+03;200,174E+03;595,465E+03;0,82122 ;0,82531 ;0,82645 ;0,82435 ;38,107 ;38,159 ;38,779 ;6,615 ;6,515 ;6,699 ;1,618 ;1,627 ;1,625 ;1,570 ;1,573 ;1,572 ;-0,00175E+03;0,00091E+03;0,00039E+03;0,92241E+03;0,93182E+03;0,92766E+03;210,399 ;209,211 ;209,247 ;NAN
828;2025/08/20;14:01:41;237;214,736 ;214,645 ;214,402 ;214,594 ;0,91072E+03;0,92351E+03;0,93065E+03;0,92163E+03;160,818E+03;163,768E+03;165,040E+03;489,627E+03;57,200 ;57,204 ;111,278E+03;111,687E+03;112,138E+03;335,103E+03;195,564E+03;198,227E+03;199,533E+03;593,324E+03;0,82233 ;0,82616 ;0,82713 ;0,82523 ;38,412 ;38,051 ;38,358 ;6,736 ;6,517 ;6,639 ;1,605 ;1,607 ;1,636 ;1,578 ;1,573 ;1,581 ;0,00061E+03;-0,00140E+03;-0,00041E+03;0,90485E+03;0,93493E+03;0,92593E+03;210,435 ;209,993 ;209,416 ;NAN
829;2025/08/20;14:01:41;738;214,802 ;214,689 ;214,443 ;214,645 ;0,91152E+03;0,92443E+03;0,93077E+03;0,92224E+03;160,955E+03;163,992E+03;165,085E+03;490,031E+03;57,199 ;57,202 ;111,488E+03;111,781E+03;112,185E+03;335,454E+03;195,796E+03;198,465E+03;199,596E+03;593,857E+03;0,82205 ;0,82630 ;0,82710 ;0,82517 ;38,014 ;38,308 ;38,105 ;6,655 ;6,559 ;6,618 ;1,628 ;1,632 ;1,627 ;1,571 ;1,578 ;1,577 ;0,00072E+03;0,00076E+03;0,00081E+03;0,90516E+03;0,93037E+03;0,93920E+03;210,207 ;210,622 ;209,835 ;NAN
830;2025/08/20;14:01:42;237;214,736 ;214,625 ;214,385 ;214,582 ;0,91285E+03;0,92584E+03;0,93237E+03;0,92368E+03;161,034E+03;164,080E+03;165,242E+03;490,357E+03;57,201 ;57,200 ;111,768E+03;112,082E+03;112,469E+03;336,319E+03;196,021E+03;198,708E+03;199,885E+03;594,614E+03;0,82152 ;0,82574 ;0,82668 ;0,82466 ;38,531 ;38,366 ;38,574 ;6,641 ;6,575 ;6,631 ;1,595 ;1,602 ;1,639 ;1,579 ;1,584 ;1,579 ;0,00073E+03;-0,00026E+03;-0,00042E+03;0,90966E+03;0,91449E+03;0,94487E+03;209,779 ;209,722 ;208,836 ;NAN
831;2025/08/20;14:01:42;737;214,688 ;214,580 ;214,370 ;214,546 ;0,91146E+03;0,92345E+03;0,93094E+03;0,92195E+03;160,874E+03;163,685E+03;164,997E+03;489,556E+03;57,199 ;57,200 ;111,401E+03;111,677E+03;112,262E+03;335,340E+03;195,680E+03;198,153E+03;199,567E+03;593,400E+03;0,82213 ;0,82606 ;0,82678 ;0,82500 ;38,222 ;37,635 ;38,086 ;6,578 ;6,724 ;6,725 ;1,638 ;1,586 ;1,632 ;1,572 ;1,580 ;1,568 ;-0,00080E+03;0,00058E+03;-0,00061E+03;0,92448E+03;0,90935E+03;0,93477E+03;209,107 ;209,388 ;210,085 ;NAN
832;2025/08/20;14:01:43;239;214,990 ;214,915 ;214,734 ;214,880 ;0,90887E+03;0,91914E+03;0,92919E+03;0,91906E+03;160,582E+03;162,980E+03;164,733E+03;488,295E+03;57,211 ;57,213 ;111,326E+03;111,618E+03;112,580E+03;335,524E+03;195,397E+03;197,537E+03;199,528E+03;592,462E+03;0,82182 ;0,82506 ;0,82562 ;0,82418 ;38,275 ;38,557 ;38,311 ;6,661 ;6,574 ;6,817 ;1,619 ;1,625 ;1,638 ;1,572 ;1,575 ;1,565 ;-0,00090E+03;0,00015E+03;-0,00000E+03;0,92624E+03;0,92438E+03;0,91763E+03;210,146 ;209,473 ;209,183 ;NAN
833;2025/08/20;14:01:43;738;215,042 ;214,920 ;214,691 ;214,884 ;0,90871E+03;0,92110E+03;0,92835E+03;0,91938E+03;160,525E+03;163,409E+03;164,680E+03;488,614E+03;57,199 ;57,202 ;111,431E+03;111,744E+03;112,269E+03;335,444E+03;195,410E+03;197,963E+03;199,308E+03;592,681E+03;0,82148 ;0,82545 ;0,82626 ;0,82441 ;38,143 ;38,452 ;38,482 ;6,692 ;6,600 ;6,757 ;1,617 ;1,626 ;1,629 ;1,577 ;1,570 ;1,574 ;0,00101E+03;-0,00083E+03;-0,00015E+03;0,90874E+03;0,92706E+03;0,92051E+03;210,917 ;209,975 ;209,655 ;NAN
834;2025/08/20;14:01:44;238;214,558 ;214,441 ;214,221 ;214,407 ;0,90919E+03;0,92118E+03;0,92808E+03;0,91948E+03;160,576E+03;163,437E+03;164,617E+03;488,630E+03;57,187 ;57,180 ;110,768E+03;110,949E+03;111,483E+03;333,201E+03;195,075E+03;197,538E+03;198,815E+03;591,428E+03;0,82315 ;0,82737 ;0,82799 ;0,82619 ;38,461 ;38,403 ;38,578 ;6,708 ;6,584 ;6,701 ;1,600 ;1,639 ;1,644 ;1,578 ;1,577 ;1,572 ;0,00019E+03;-0,00037E+03;0,00090E+03;0,89923E+03;0,92287E+03;0,92174E+03;210,279 ;209,438 ;209,951 ;NAN
835;2025/08/20;14:01:44;739;225,596 ;225,039 ;224,887 ;225,174 ;0,77657E+03;0,78460E+03;0,79193E+03;0,78437E+03;126,222E+03;127,994E+03;129,320E+03;383,535E+03;57,975 ;57,781 ;121,490E+03;121,627E+03;122,450E+03;365,567E+03;175,191E+03;176,566E+03;178,094E+03;529,851E+03;0,72048 ;0,72491 ;0,72613 ;0,72386 ;38,670 ;38,020 ;38,666 ;6,797 ;6,603 ;6,685 ;1,729 ;1,713 ;1,724 ;1,838 ;1,841 ;1,839 ;0,00187E+03;-0,00217E+03;0,00037E+03;0,89208E+03;0,92662E+03;0,94295E+03;209,726 ;211,227 ;208,671 ;NAN
836;2025/08/20;14:01:45;238;248,199 ;248,287 ;248,185 ;248,223 ;0,44186E+03;0,44495E+03;0,45118E+03;0,44600E+03;62,463E+03;63,615E+03;64,208E+03;190,286E+03;58,237 ;58,342 ;90,143E+03;90,321E+03;91,739E+03;272,203E+03;109,669E+03;110,475E+03;111,976E+03;332,121E+03;0,56956 ;0,57583 ;0,57340 ;0,57294 ;38,935 ;38,535 ;38,069 ;12,967 ;12,778 ;13,011 ;1,616 ;1,629 ;1,612 ;1,943 ;1,957 ;1,960 ;0,00064E+03;-0,00213E+03;0,00157E+03;0,50294E+03;0,51053E+03;0,51379E+03;242,908 ;242,928 ;242,901 ;NAN
837;2025/08/20;14:01:45;737;250,384 ;250,167 ;250,008 ;250,186 ;0,35113E+03;0,35518E+03;0,35904E+03;0,35512E+03;45,562E+03;46,605E+03;47,231E+03;139,398E+03;57,700 ;57,659 ;75,189E+03;75,650E+03;76,333E+03;227,172E+03;87,916E+03;88,853E+03;89,764E+03;266,533E+03;0,51824 ;0,52452 ;0,52617 ;0,52300 ;39,446 ;40,246 ;38,845 ;15,341 ;15,419 ;15,169 ;1,607 ;1,606 ;1,629 ;1,867 ;1,868 ;1,848 ;0,00046E+03;-0,00009E+03;-0,00064E+03;0,33383E+03;0,33465E+03;0,34400E+03;237,273 ;237,014 ;238,762 ;NAN
838;2025/08/20;14:01:46;236;248,822 ;248,674 ;248,507 ;248,667 ;0,30735E+03;0,31022E+03;0,31431E+03;0,31063E+03;42,606E+03;43,375E+03;43,959E+03;129,940E+03;57,300 ;57,266 ;63,509E+03;63,794E+03;64,564E+03;191,867E+03;76,477E+03;77,143E+03;78,108E+03;231,728E+03;0,55711 ;0,56226 ;0,56280 ;0,56074 ;39,348 ;39,708 ;39,529 ;15,904 ;16,150 ;15,993 ;1,610 ;1,599 ;1,621 ;1,855 ;1,838 ;1,833 ;-0,00038E+03;-0,00036E+03;-0,00042E+03;0,31993E+03;0,31507E+03;0,32745E+03;244,768 ;243,769 ;244,520 ;NAN
839;2025/08/20;14:01:46;738;250,981 ;250,875 ;250,766 ;250,874 ;0,29254E+03;0,29472E+03;0,29895E+03;0,29540E+03;36,019E+03;36,693E+03;37,149E+03;109,861E+03;57,199 ;57,202 ;63,981E+03;64,191E+03;65,114E+03;193,286E+03;73,423E+03;73,938E+03;74,966E+03;222,327E+03;0,49057 ;0,49626 ;0,49555 ;0,49414 ;39,466 ;39,444 ;39,676 ;16,073 ;16,382 ;16,528 ;1,593 ;1,594 ;1,615 ;1,922 ;1,885 ;1,912 ;-0,00058E+03;0,00046E+03;0,00056E+03;0,32140E+03;0,31688E+03;0,32171E+03;244,842 ;245,884 ;245,642 ;NAN
840;2025/08/20;14:01:47;237;250,200 ;250,076 ;249,930 ;250,069 ;0,28239E+03;0,28517E+03;0,28814E+03;0,28523E+03;34,337E+03;35,234E+03;35,565E+03;105,135E+03;57,097 ;57,097 ;61,748E+03;62,003E+03;62,621E+03;186,371E+03;70,653E+03;71,314E+03;72,015E+03;213,982E+03;0,48599 ;0,49406 ;0,49385 ;0,49133 ;39,839 ;40,133 ;39,942 ;16,478 ;16,966 ;16,935 ;1,603 ;1,601 ;1,603 ;1,835 ;1,801 ;1,814 ;-0,00009E+03;0,00057E+03;-0,00012E+03;0,28787E+03;0,28059E+03;0,28839E+03;243,818 ;243,718 ;243,815 ;NAN
